Movement-SaluteReport,1 x MAM,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Fenton,2015-01-01T06:41:00.0000000Z,2015-01-01T06:41:00.0000000Z,{3CC88324-D8DD-4089-BCE4-482C67A5F8C8},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.67382408600002,  \"y\": 36.684501155000021,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,Female Member,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Strub,2015-01-01T06:56:00.0000000Z,2015-01-01T06:56:00.0000000Z,{BFA75BF9-EA9B-4C31-9D63-4B48A57FF79C},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.64478628,  \"y\": 36.697723232999977,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,1 x MAM,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Rob,2015-01-01T06:57:00.0000000Z,2015-01-01T06:57:00.0000000Z,{ABFE149C-67E3-46E5-ABA0-3200366F1ED8},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.91464607199998,  \"y\": 36.610470150000026,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,1 x MAM,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Kas,2015-01-01T07:04:00.0000000Z,2015-01-01T07:04:00.0000000Z,{963F995D-41CC-4B45-B8B8-B9B247A3127F},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.83375473699999,  \"y\": 36.615290144000028,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,1 x MAM,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Moxen,2015-01-01T07:20:00.0000000Z,2015-01-01T07:20:00.0000000Z,{44E7B619-9408-4D55-B313-5719AD48C251},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.79968522000001,  \"y\": 36.681575156000008,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,1 x MAM,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Natalie,2015-01-01T07:24:00.0000000Z,2015-01-01T07:24:00.0000000Z,{3FAF1B8A-262D-4EDF-95A9-B80FC8743FAE},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.41937460700001,  \"y\": 38.527203375,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,Wife of Natalie,Observed,Lives,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Shelila,2015-01-01T10:02:00.0000000Z,2015-01-01T10:02:00.0000000Z,{8948A669-7B1B-4403-A29F-1A62CC94930C},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.41937460700001,  \"y\": 38.527203375,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK,UNK,UNK,MLF,UNK,2015-01-31T16:01:14.0000000Z,Analyst5221,UNK,Fenton,2015-01-01T11:00:00.0000000Z,2015-01-01T11:00:00.0000000Z,{EFCBF440-058B-41F2-8DB1-7D02C482F707},Analyst,2015-01-31T16:01:14.0000000Z,"{  \"x\": -7.2035398230000283,  \"y\": 81.96460177,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK,UNK,UNK,MLF,UNK,2015-01-31T16:01:14.0000000Z,Analyst5221,UNK,Fenton,2015-01-01T11:00:00.0000000Z,2015-01-01T11:00:00.0000000Z,{CBF68DB5-1544-4D23-BE59-3E78BECA91B9},Analyst,2015-01-31T16:01:14.0000000Z,"{  \"x\": -7.2035398230000283,  \"y\": 81.96460177,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK, Lunch,UNK,MLF,UNK,2015-01-31T16:00:20.0000000Z,Analyst5221,UNK,Rob,2015-01-01T11:32:00.0000000Z,2015-01-01T12:47:00.0000000Z,{FEB5E1EC-C59A-4F7E-BCDC-C4A47E0BF3B8},Analyst,2015-01-31T16:02:39.0000000Z,"{  \"x\": -121.921205273,  \"y\": 36.605522579000024,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK, Lunch,UNK,MLF,UNK,2015-01-31T16:00:20.0000000Z,Analyst5221,UNK,Kas,2015-01-01T11:41:00.0000000Z,2015-01-01T12:43:00.0000000Z,{F2044299-0FE1-4DCD-BC1B-6C7133BADEF6},Analyst,2015-01-31T16:02:39.0000000Z,"{  \"x\": -121.49369678400001,  \"y\": 38.579124041,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK, Lunch,UNK,MLF,UNK,2015-01-31T16:00:20.0000000Z,Analyst5221,UNK,Fenton,2015-01-01T11:49:00.0000000Z,2015-01-01T12:43:00.0000000Z,{8165722D-78F7-4B1C-8F8D-CF95A335BED8},Analyst,2015-01-31T16:02:39.0000000Z,"{  \"x\": -121.65026800499999,  \"y\": 36.698967295999978,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK,Lunch,UNK,MLF,UNK,2015-01-31T16:00:20.0000000Z,Analyst5221,UNK,Shelila,2015-01-01T11:51:00.0000000Z,2015-01-01T12:48:00.0000000Z,{1F7C4AB0-5004-4BF5-8227-E59ED53850B2},Analyst,2015-01-31T16:02:39.0000000Z,"{  \"x\": -121.48108621199998,  \"y\": 38.573293494999973,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,UNK, Lunch,UNK,MLF,UNK,2015-01-31T16:00:20.0000000Z,Analyst5221,UNK,Natalie,2015-01-01T11:57:00.0000000Z,2015-01-01T12:43:00.0000000Z,{A0D35F6D-A6D7-4A02-93A8-109A98A943BE},Analyst,2015-01-31T16:02:39.0000000Z,"{  \"x\": -121.50695263400002,  \"y\": 38.565547857000013,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,1 x MAM,Observed,Works,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Natalie,2015-01-01T12:16:00.0000000Z,2015-01-01T12:16:00.0000000Z,{32A6C264-1EFE-44D0-B314-C71D391267A6},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.39369946400001,  \"y\": 38.629458016,  \"spatialReference\": {    \"wkid\": 4326  }}"
Movement-SaluteReport,1 x MAM,Observed,Works,MLF,UNK,1970-01-03T00:00:00.0000000Z,Analyst0538,UNK,Moxen,2015-01-01T12:26:00.0000000Z,2015-01-01T12:26:00.0000000Z,{F97CF0F8-ED87-4104-82B3-C09BC62A5A5F},Analyst,2015-01-31T15:48:03.0000000Z,"{  \"x\": -121.79540443399998,  \"y\": 36.652870327000016,  \"spatialReference\": {    \"wkid\": 4326  }}"
